Track,Artist,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Tag
Lucky,Radiohead,0.053,0.213,0.4,0.612,11.0,0.111,-9.813,0.0,0.0324,133.369,4.0,0.195,Erika
Hole in the Earth,Deftones,5.39e-05,0.139,0.937,0.0572,6.0,0.349,-3.944,0.0,0.206,205.784,3.0,0.304,Erika
"Die, Die My Darling",Metallica,0.00045,0.449,0.975,0.0,10.0,0.14,-2.789,0.0,0.0582,178.069,3.0,0.785,Erika
Best I Ever Had,Drake,0.19,0.395,0.922,0.0,1.0,0.134,-2.176,1.0,0.375,162.361,4.0,0.558,Giuliana
Where This Flower Blooms (feat. Frank Ocean),"Tyler, The Creator",0.71,0.686,0.429,3.41e-06,8.0,0.166,-10.402,0.0,0.15,130.09,4.0,0.27,Giuliana
Mixed Personalities (feat. Kanye West),YNW Melly,0.457,0.661,0.44,0.0,2.0,0.128,-9.104,1.0,0.0803,149.937,4.0,0.352,Giuliana
I Don't Care - Single Version,Fall Out Boy,0.00171,0.55,0.938,2.18e-05,11.0,0.555,-3.556,0.0,0.0522,133.99,4.0,0.433,Erika
Godzilla (feat. Juice WRLD),Eminem,0.145,0.808,0.745,0.0,10.0,0.292,-5.26,0.0,0.342,165.995,4.0,0.829,Giuliana
Engine No. 9,Deftones,9.3e-05,0.358,0.981,0.000193,2.0,0.386,-5.13,1.0,0.178,93.744,4.0,0.382,Erika
Battery (Remastered),Metallica,0.000211,0.48,0.923,0.531,11.0,0.106,-8.793,0.0,0.0682,96.535,4.0,0.44,Erika
Suicidal Thoughts - 2005 Remaster,The Notorious B.I.G.,0.466,0.604,0.501,9.09e-06,5.0,0.091,-10.171,0.0,0.425,78.61,4.0,0.0956,Giuliana
Hit the Floor,Linkin Park,0.0629,0.74,0.959,0.0,9.0,0.0444,-3.692,1.0,0.193,150.007,4.0,0.878,Erika
Be Careful,Cardi B,0.0256,0.82,0.568,0.0,6.0,0.0952,-8.23,0.0,0.411,152.279,4.0,0.535,Giuliana
School,Nirvana,1.15e-05,0.21,0.943,0.493,4.0,0.0739,-7.656,1.0,0.0785,164.844,4.0,0.13,Erika
I Tried,Bone Thugs-N-Harmony,0.0104,0.727,0.71,0.0,4.0,0.107,-6.142,1.0,0.0742,81.995,4.0,0.378,Giuliana
Sour Girl,Stone Temple Pilots,0.0769,0.394,0.663,0.00644,0.0,0.239,-6.619,1.0,0.0295,207.575,4.0,0.737,Erika
Under The Influence,Eminem,0.0174,0.921,0.752,0.0,6.0,0.135,-4.32,1.0,0.27,96.985,4.0,0.705,Giuliana
Caroline,Aminé,0.17,0.94,0.335,0.0,5.0,0.262,-10.179,0.0,0.505,120.04,4.0,0.707,Giuliana
Animal I Have Become,Three Days Grace,0.000684,0.553,0.853,0.0,8.0,0.126,-3.668,1.0,0.0339,122.023,4.0,0.506,Erika
Love Buzz,Nirvana,3.1e-05,0.479,0.865,0.228,5.0,0.182,-8.281,0.0,0.0339,137.902,4.0,0.77,Erika
Howlin' for You,The Black Keys,0.028,0.705,0.735,0.0783,11.0,0.112,-6.646,1.0,0.0931,132.627,4.0,0.448,Erika
Dang! (feat. Anderson .Paak),Mac Miller,0.00826,0.836,0.67,0.000355,5.0,0.0837,-6.907,0.0,0.23,107.018,4.0,0.556,Giuliana
Never Too Late,Three Days Grace,0.00838,0.433,0.778,0.0,2.0,0.163,-4.68,0.0,0.0371,149.864,4.0,0.217,Erika
Rich As Fuck,Lil Wayne,0.0369,0.617,0.588,0.0,1.0,0.514,-6.302,1.0,0.464,132.164,4.0,0.878,Giuliana
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,0.0426,0.794,0.811,1.07e-06,6.0,0.101,-8.966,0.0,0.038,116.047,4.0,0.862,Erika
Like You (feat. Ciara),Bow Wow,0.0465,0.714,0.6,0.0,6.0,0.0646,-8.365,1.0,0.0876,82.017,4.0,0.504,Giuliana
Public Service Announcement (Interlude),JAY-Z,0.37,0.446,0.96,4.09e-06,1.0,0.493,-1.144,1.0,0.619,177.025,4.0,0.443,Giuliana
Always Alright,Alabama Shakes,0.784,0.693,0.62,0.844,9.0,0.112,-6.509,1.0,0.0424,106.346,4.0,0.571,Erika
So Good,B.o.B,0.0403,0.66,0.9,0.0,7.0,0.219,-5.02,1.0,0.14,85.51,4.0,0.591,Giuliana
Good Night,Kanye West,0.177,0.696,0.526,0.0,11.0,0.192,-10.504,0.0,0.171,88.931,4.0,0.703,Giuliana
LXR02,Joyhauser,0.00139,0.646,0.855,0.759,11.0,0.073,-7.613,0.0,0.0449,138.008,4.0,0.303,Andrea
Behind the Wheel - 2006 Remaster,Depeche Mode,0.0357,0.619,0.82,0.637,2.0,0.269,-9.455,0.0,0.0352,125.069,4.0,0.614,Erika
Digital Bath,Deftones,0.00122,0.338,0.859,0.211,4.0,0.0936,-4.938,0.0,0.0824,92.966,4.0,0.504,Erika
The Motto,Tiësto,0.0301,0.754,0.763,2.23e-05,7.0,0.0901,-4.627,0.0,0.0435,117.953,4.0,0.464,Andrea
You Can Call Me Al,Paul Simon,0.182,0.776,0.763,0.00647,5.0,0.077,-8.124,1.0,0.0534,128.433,4.0,0.82,Erika
"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",The Notorious B.I.G.,0.0949,0.833,0.628,1.6e-06,2.0,0.282,-7.041,1.0,0.141,106.328,4.0,0.645,Giuliana
Eazy-er Said Than Dunn,Eazy-E,0.0137,0.866,0.818,0.0,8.0,0.132,-4.111,0.0,0.26,103.332,4.0,0.747,Giuliana
Después de la Playa,Bad Bunny,0.356,0.564,0.903,0.0,5.0,0.175,-3.221,1.0,0.307,78.293,4.0,0.607,Gianluca
Trash,Korn,8.12e-05,0.513,0.921,0.0421,1.0,0.205,-6.369,0.0,0.0563,91.899,4.0,0.414,Erika
Floyd The Barber,Nirvana,0.000788,0.443,0.878,0.56,8.0,0.0623,-6.717,0.0,0.0418,136.567,4.0,0.683,Erika
Do Me a Favour,Arctic Monkeys,7.84e-05,0.471,0.735,0.122,11.0,0.101,-6.685,0.0,0.0582,180.127,4.0,0.636,Erika
Wild Wild Life,Talking Heads,0.0153,0.649,0.714,0.0,9.0,0.334,-11.268,1.0,0.029,137.478,4.0,0.964,Erika
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,0.0272,0.464,0.655,1.34e-06,7.0,0.328,-9.058,0.0,0.0608,169.515,4.0,0.531,Erika
Here I Go Again - 2018 Remaster,Whitesnake,0.0117,0.292,0.823,7.79e-05,7.0,0.155,-6.763,1.0,0.0407,89.939,4.0,0.244,Erika
Nadine - Stereo Remix,Chuck Berry,0.612,0.803,0.502,4.57e-06,10.0,0.0946,-11.86,1.0,0.0818,140.613,4.0,0.95,Erika
Superstar (feat. Matthew Santos),Lupe Fiasco,0.207,0.572,0.822,0.0,11.0,0.359,-6.015,0.0,0.361,94.812,4.0,0.472,Giuliana
Firestone (Techno),FUTURAMI,0.0286,0.703,0.566,0.0299,2.0,0.362,-6.963,0.0,0.0528,140.001,4.0,0.546,Andrea
Can You Feel My Heart,Bring Me The Horizon,0.00201,0.15,0.859,0.194,4.0,0.387,-2.827,0.0,0.0595,170.527,5.0,0.354,Erika
SEJODIOTO,KAROL G,0.157,0.822,0.736,0.000781,1.0,0.0748,-3.969,1.0,0.15,175.93,4.0,0.679,Gianluca
Make It Wit Chu,Queens of the Stone Age,0.355,0.704,0.811,0.000189,9.0,0.13,-5.308,1.0,0.0277,91.97,4.0,0.578,Erika
Dale Don Dale,Don Omar,0.0242,0.831,0.818,0.000336,2.0,0.0892,-7.827,1.0,0.0825,95.023,4.0,0.807,Gianluca
This Is the Time,Billy Joel,0.586,0.694,0.477,2.99e-05,10.0,0.0812,-10.524,1.0,0.0268,128.26,4.0,0.369,Erika
Mo Bamba,Sheck Wes,0.194,0.729,0.625,0.00986,4.0,0.248,-5.266,1.0,0.0315,146.034,4.0,0.261,Giuliana
Mírala Bien,Wisin & Yandel,0.255,0.815,0.856,0.0,1.0,0.0697,-4.399,0.0,0.13,96.014,4.0,0.713,Gianluca
Shake That - Album Version (Edited)- SUPERCLEAN,Eminem,0.0454,0.961,0.626,0.000122,1.0,0.161,-5.464,0.0,0.0837,106.979,4.0,0.58,Giuliana
Pose,Daddy Yankee,0.0429,0.806,0.881,2.07e-05,11.0,0.349,-3.577,1.0,0.0903,117.037,4.0,0.472,Gianluca
Un Coco,Bad Bunny,0.207,0.839,0.69,8.33e-06,11.0,0.176,-4.464,1.0,0.0615,151.991,4.0,0.744,Gianluca
Ice Box,Omarion,0.189,0.775,0.731,0.0,8.0,0.129,-5.446,1.0,0.134,131.105,4.0,0.821,Giuliana
Disciples,Tame Impala,0.078,0.661,0.869,0.924,5.0,0.398,-5.477,1.0,0.0334,126.971,4.0,0.8,Erika
Night Ride,Dominik Saltevski,0.000958,0.514,0.844,0.892,11.0,0.121,-7.004,0.0,0.0438,133.987,4.0,0.53,Andrea
Centuries,Fall Out Boy,0.00359,0.393,0.858,0.0,4.0,0.102,-2.868,0.0,0.0729,176.042,4.0,0.56,Erika
"Piano Sonata No. 12 in F Major, K. 332: II. Adagio",Wolfgang Amadeus Mozart,0.995,0.522,0.0308,0.915,5.0,0.0805,-26.86,1.0,0.0641,72.551,4.0,0.313,Laura
Lost In Hollywood,System Of A Down,0.596,0.283,0.797,0.000412,8.0,0.125,-3.193,0.0,0.0307,155.564,4.0,0.107,Erika
Blood On The Leaves,Kanye West,0.395,0.397,0.69,0.0,2.0,0.101,-4.108,0.0,0.195,172.073,4.0,0.36,Giuliana
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,0.156,0.652,0.795,0.0,11.0,0.123,-5.192,0.0,0.174,135.018,4.0,0.788,Giuliana
Of Wolf and Man (Remastered),Metallica,0.000988,0.605,0.792,0.0382,5.0,0.0852,-6.87,1.0,0.0366,121.768,4.0,0.47,Erika
Belong to the City,PARTYNEXTDOOR,0.709,0.582,0.482,0.00138,5.0,0.129,-9.813,0.0,0.0479,88.198,4.0,0.193,Giuliana
Bigmouth Strikes Again - 2017 Master,The Smiths,0.0474,0.399,0.904,1.35e-06,1.0,0.532,-4.607,0.0,0.041,134.892,4.0,0.879,Erika
Feelin' It,JAY-Z,0.322,0.558,0.703,0.0,10.0,0.376,-7.851,1.0,0.304,81.849,4.0,0.709,Giuliana
No Lie,2 Chainz,0.0172,0.634,0.665,0.0,6.0,0.365,-5.984,0.0,0.176,131.108,4.0,0.611,Giuliana
Phantom,Layton Giordani,0.00404,0.697,0.885,0.832,7.0,0.278,-5.002,1.0,0.0554,135.018,4.0,0.417,Andrea
Prada,cassö,0.001,0.638,0.717,1.79e-06,8.0,0.113,-5.804,1.0,0.0375,141.904,4.0,0.422,Andrea
Shoots and Ladders,Korn,0.00681,0.277,0.744,0.00466,0.0,0.246,-9.756,0.0,0.0868,93.669,4.0,0.227,Erika
Under Cover of Darkness,The Strokes,0.00433,0.35,0.775,0.283,11.0,0.0676,-3.364,1.0,0.054,199.866,4.0,0.588,Erika
Pretty Boy Swag,Soulja Boy,0.177,0.837,0.42,0.0,8.0,0.356,-5.158,1.0,0.0629,123.157,4.0,0.143,Giuliana
High School,Nicki Minaj,0.135,0.531,0.683,0.00265,1.0,0.22,-4.093,0.0,0.333,84.817,4.0,0.212,Giuliana
Plush - Acoustic,Stone Temple Pilots,0.715,0.643,0.364,0.0,5.0,0.659,-11.018,0.0,0.04,133.377,4.0,0.283,Erika
"Is It Really so Strange? - John Peel session, 12/2/86",The Smiths,0.00288,0.525,0.891,0.0322,9.0,0.0903,-4.832,1.0,0.0319,133.272,4.0,0.498,Erika
Tones Of Home,Blind Melon,0.166,0.556,0.808,0.000167,0.0,0.164,-6.965,1.0,0.0335,115.287,4.0,0.844,Erika
Cold Cold Cold,Cage The Elephant,0.0178,0.549,0.789,6.7e-05,5.0,0.059,-6.071,1.0,0.0313,136.125,4.0,0.715,Erika
Pistol Grip Pump,Rage Against The Machine,0.0243,0.673,0.887,4.1e-06,6.0,0.0654,-3.873,0.0,0.255,92.553,4.0,0.726,Erika
Les,Childish Gambino,0.00649,0.541,0.674,9.76e-05,1.0,0.235,-7.04,0.0,0.0841,103.139,4.0,0.123,Giuliana
Hurts Me - Techno,Hyper Hamster,0.0394,0.676,0.743,0.435,9.0,0.384,-5.652,1.0,0.345,160.016,4.0,0.532,Andrea
I Caught Myself,Paramore,0.00122,0.543,0.868,0.0,9.0,0.116,-3.836,1.0,0.0367,116.145,4.0,0.308,Erika
Online Songs,blink-182,0.00456,0.552,0.982,0.0,9.0,0.337,-3.227,1.0,0.0484,98.458,4.0,0.664,Erika
I Get the Bag (feat. Migos),Gucci Mane,0.0232,0.89,0.633,0.000343,11.0,0.0993,-5.475,1.0,0.168,139.948,4.0,0.425,Giuliana
S91,KAROL G,0.587,0.856,0.719,2.89e-05,0.0,0.09,-4.923,0.0,0.194,128.161,4.0,0.417,Gianluca
Down 4 My N's,Snoop Dogg,0.0412,0.831,0.765,0.0,6.0,0.352,-5.661,0.0,0.273,90.995,4.0,0.523,Giuliana
Why We Thugs,Ice Cube,0.326,0.683,0.59,0.0,1.0,0.148,-5.423,1.0,0.458,100.892,4.0,0.653,Giuliana
Mountain Song,Jane's Addiction,0.0155,0.324,0.931,0.0252,9.0,0.277,-6.803,1.0,0.0837,82.748,4.0,0.313,Erika
Accordion,Madvillain,0.0243,0.578,0.631,0.0,9.0,0.0665,-6.518,0.0,0.309,96.332,4.0,0.716,Giuliana
Bonzo Goes to Bitburg,Ramones,0.295,0.41,0.854,9.2e-06,7.0,0.355,-11.665,1.0,0.0864,174.66,4.0,0.495,Erika
Rusty Cage,Johnny Cash,0.594,0.543,0.723,0.00316,2.0,0.314,-5.889,1.0,0.0332,112.061,4.0,0.496,Erika
Blew,Nirvana,5.65e-06,0.411,0.882,0.0147,1.0,0.298,-6.618,1.0,0.0556,129.848,4.0,0.531,Erika
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,0.89,0.275,0.157,0.842,7.0,0.186,-18.752,1.0,0.0636,73.289,4.0,0.304,Laura
Spiderhead,Cage The Elephant,0.00614,0.543,0.946,1.49e-05,2.0,0.106,-0.734,1.0,0.0454,117.962,4.0,0.547,Erika
"Études, Op. 25: No. 1 in A Flat Major",Frédéric Chopin,0.985,0.217,0.024,0.903,8.0,0.0817,-30.009,1.0,0.0354,72.582,4.0,0.0391,Laura
Home Alone (with Marnik),Naeleck,0.193,0.625,0.942,0.693,1.0,0.16,-5.739,0.0,0.0396,150.001,4.0,0.459,Andrea
Long Time - Intro,Playboi Carti,0.283,0.472,0.861,0.0,4.0,0.83,-3.966,0.0,0.0447,144.077,4.0,0.358,Giuliana
One Beer,MF DOOM,0.0996,0.376,0.718,0.00332,7.0,0.633,-6.7,1.0,0.246,91.115,4.0,0.615,Giuliana
Moment Of Truth,Gang Starr,0.0157,0.532,0.819,0.0,6.0,0.371,-5.282,0.0,0.256,90.215,4.0,0.594,Giuliana
I Left My Wallet in El Segundo,A Tribe Called Quest,0.383,0.817,0.825,0.0,7.0,0.0866,-6.481,1.0,0.238,99.032,4.0,0.881,Giuliana
Fire Woman,The Cult,0.000258,0.49,0.854,0.000735,7.0,0.299,-7.489,1.0,0.0407,132.032,4.0,0.443,Erika
Shimmy,System Of A Down,0.000941,0.433,0.961,0.0266,2.0,0.0438,-3.556,1.0,0.0459,118.97,4.0,0.703,Erika
Pound The Alarm,Nicki Minaj,0.0403,0.728,0.858,4.26e-06,9.0,0.0241,-3.686,1.0,0.0609,125.054,4.0,0.591,Giuliana
Heatseeker,AC/DC,0.00225,0.372,0.873,0.137,8.0,0.0638,-5.049,1.0,0.0426,159.991,4.0,0.481,Erika
Feeling Myself,Nicki Minaj,0.437,0.564,0.703,0.00927,2.0,0.358,-5.459,1.0,0.269,139.045,4.0,0.477,Giuliana
Breaking the Habit,Linkin Park,0.108,0.579,0.849,0.0,4.0,0.0909,-5.218,0.0,0.0303,100.021,4.0,0.581,Erika
Forty Six & 2,TOOL,0.00152,0.375,0.682,0.598,0.0,0.0897,-6.898,0.0,0.0364,159.23,4.0,0.396,Erika
"Ma mère l'Oye, M. 60: I. Pavane de la belle au bois dormant - Lent",Maurice Ravel,0.937,0.433,0.00301,0.795,0.0,0.0403,-47.07,1.0,0.0487,116.023,4.0,0.286,Laura
Holding on to You,Twenty One Pilots,0.241,0.608,0.776,0.0,11.0,0.0713,-3.635,1.0,0.0511,89.996,4.0,0.814,Erika
The Message,Nas,0.00776,0.614,0.543,3.28e-05,5.0,0.383,-7.178,1.0,0.374,178.422,4.0,0.485,Giuliana
She Will,Lil Wayne,0.000402,0.364,0.841,0.0,8.0,0.242,-4.831,1.0,0.119,100.14,5.0,0.0841,Giuliana
Marian The Librarian,Robert Preston,0.81,0.52,0.186,5e-05,5.0,0.165,-17.258,0.0,0.045,106.801,4.0,0.447,Laura
Word Up!,Korn,2.42e-05,0.577,0.94,0.0715,6.0,0.347,-4.439,0.0,0.0361,116.045,4.0,0.818,Erika
A bottle of rouge,Cristian Vivaldi,0.991,0.385,0.0261,0.926,6.0,0.105,-28.879,0.0,0.0537,80.251,4.0,0.0993,Laura
Tear in My Heart,Twenty One Pilots,0.0189,0.655,0.632,0.0,2.0,0.0722,-4.802,1.0,0.0489,120.113,4.0,0.447,Erika
Reborn,KIDS SEE GHOSTS,0.339,0.585,0.597,0.0404,0.0,0.195,-7.499,1.0,0.037,100.051,4.0,0.227,Giuliana
The Heretic Anthem,Slipknot,0.000562,0.451,0.993,0.00479,1.0,0.152,-4.143,1.0,0.185,100.827,4.0,0.14,Erika
Mr. Glock,Key Glock,0.002,0.804,0.946,0.0,7.0,0.359,-5.949,1.0,0.352,150.141,4.0,0.745,Giuliana
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,0.000813,0.645,0.705,0.0,1.0,0.128,-5.008,1.0,0.299,137.133,4.0,0.376,Giuliana
Cool The Engines,Boston,0.0433,0.434,0.658,0.00201,11.0,0.0992,-14.211,1.0,0.0428,111.641,4.0,0.571,Erika
Whatever You Like,T.I.,0.0161,0.68,0.687,0.0,9.0,0.261,-6.162,0.0,0.0709,150.053,4.0,0.467,Giuliana
Barely Legal,The Strokes,0.00326,0.424,0.884,0.0499,0.0,0.0903,-6.286,1.0,0.0365,157.813,4.0,0.852,Erika
Magic Stick,Lil' Kim,0.117,0.849,0.499,4.97e-05,2.0,0.268,-7.872,1.0,0.271,92.982,4.0,0.504,Giuliana
Latch,Disclosure,0.0178,0.729,0.735,0.000193,1.0,0.089,-5.455,1.0,0.0919,121.986,4.0,0.544,Andrea
Dead Presidents II,JAY-Z,0.172,0.758,0.912,1.09e-06,0.0,0.149,-8.758,0.0,0.349,87.335,4.0,0.573,Giuliana
Player's Ball,Outkast,0.0398,0.857,0.764,0.0,1.0,0.425,-6.304,1.0,0.246,93.071,4.0,0.578,Giuliana
Cinderella Man,Eminem,0.234,0.679,0.908,0.0,8.0,0.0821,-3.411,1.0,0.202,85.918,4.0,0.687,Giuliana
Overdue (with Travis Scott),Metro Boomin,0.733,0.638,0.4,0.000133,11.0,0.334,-11.212,0.0,0.0425,150.133,4.0,0.495,Giuliana
This Love,Pantera,0.000312,0.402,0.73,0.323,6.0,0.103,-9.327,1.0,0.0455,104.527,4.0,0.296,Erika
Marshall Mathers,Eminem,0.0361,0.729,0.759,0.0,11.0,0.0694,-3.177,0.0,0.127,95.935,4.0,0.268,Giuliana
The Mourning After,Mac Miller,0.872,0.593,0.634,0.000553,7.0,0.432,-9.726,1.0,0.302,80.117,4.0,0.396,Giuliana
Hours In Silence,Drake,0.234,0.501,0.403,0.0,6.0,0.267,-11.106,0.0,0.119,118.352,4.0,0.111,Giuliana
Burnout,Green Day,0.000165,0.5,0.921,0.00118,6.0,0.0959,-5.261,1.0,0.0355,90.861,4.0,0.891,Erika
Candy,Plan B,0.252,0.897,0.864,0.0,11.0,0.517,-3.735,0.0,0.147,95.981,4.0,0.542,Gianluca
Red Opps,21 Savage,0.00908,0.703,0.709,0.0,9.0,0.127,-6.452,1.0,0.402,140.998,4.0,0.569,Giuliana
It's Good To Be King,Tom Petty,0.0143,0.523,0.622,0.0065,2.0,0.297,-6.632,1.0,0.0245,147.878,4.0,0.446,Erika
I Need A Doctor,Dr. Dre,0.0869,0.594,0.946,0.0,3.0,0.306,-4.521,1.0,0.452,155.826,4.0,0.397,Giuliana
"III. Telegraph Ave. (""Oakland"" by Lloyd)",Childish Gambino,0.156,0.489,0.694,0.0289,5.0,0.145,-9.586,0.0,0.246,130.021,4.0,0.579,Giuliana
Knee Socks,Arctic Monkeys,0.123,0.665,0.542,0.00291,11.0,0.342,-8.323,0.0,0.033,97.975,4.0,0.587,Erika
Monkey Business,Skid Row,0.00102,0.498,0.901,0.000729,6.0,0.104,-6.724,0.0,0.0511,96.916,4.0,0.572,Erika
Girls Want Girls (with Lil Baby),Drake,0.181,0.767,0.438,0.0,7.0,0.142,-8.726,0.0,0.29,86.975,4.0,0.381,Giuliana
My Gasoline,Maddix,0.0536,0.65,0.983,0.687,7.0,0.324,-7.574,1.0,0.0621,139.993,4.0,0.462,Andrea
"Meet Me In St. Louis - ""Meet Me In St. Louis"" Original Cast Recording",Judy Garland,0.768,0.358,0.273,0.0,1.0,0.303,-10.976,1.0,0.0509,184.154,3.0,0.765,Laura
My Name Is Jonas,Weezer,0.00021,0.295,0.94,0.00106,11.0,0.276,-5.247,1.0,0.0449,186.186,3.0,0.58,Erika
January 28th,J. Cole,0.242,0.597,0.568,0.0,5.0,0.0838,-8.559,1.0,0.342,84.052,4.0,0.342,Giuliana
Nebula,RN7,0.000632,0.704,0.961,0.91,6.0,0.124,-6.23,1.0,0.0856,131.988,4.0,0.452,Andrea
Demonoid Phenomenon,Rob Zombie,0.000386,0.525,0.987,0.000106,4.0,0.346,-4.219,0.0,0.0746,139.995,4.0,0.326,Erika
Candy Paint,Post Malone,0.64,0.664,0.667,1.22e-06,4.0,0.0753,-5.941,1.0,0.154,180.064,4.0,0.381,Giuliana
Love It Here,Moneybagg Yo,0.279,0.786,0.438,0.0,7.0,0.105,-10.537,0.0,0.391,85.924,4.0,0.154,Giuliana
Teen Age Riot (Album Version),Sonic Youth,0.000277,0.286,0.907,0.202,7.0,0.0837,-9.67,1.0,0.0374,156.395,4.0,0.746,Erika
Where The River Flows,Collective Soul,0.331,0.733,0.727,0.000171,0.0,0.106,-7.055,1.0,0.0315,127.633,4.0,0.965,Erika
Porque Me Tratas Así?,Wisin & Yandel,0.15,0.787,0.559,0.0,0.0,0.0936,-7.274,1.0,0.046,94.021,4.0,0.52,Gianluca
Aquemini,Outkast,0.245,0.707,0.661,0.0,1.0,0.176,-5.711,0.0,0.39,89.197,4.0,0.157,Giuliana
Revolution Is My Name,Pantera,6.17e-05,0.243,0.988,0.12,8.0,0.341,-3.485,1.0,0.197,89.905,4.0,0.277,Erika
This Is a Call,Foo Fighters,0.00141,0.261,0.964,2.87e-05,9.0,0.183,-6.654,1.0,0.0638,162.902,3.0,0.326,Erika
Clique,Kanye West,0.0534,0.66,0.539,0.0,9.0,0.222,-5.947,0.0,0.324,109.318,5.0,0.307,Giuliana
Mutt,blink-182,0.0109,0.574,0.929,3.45e-06,9.0,0.353,-3.992,1.0,0.0468,105.709,4.0,0.764,Erika
Champagne Supernova,Oasis,0.223,0.303,0.853,0.00159,2.0,0.361,-2.26,1.0,0.0366,150.381,4.0,0.119,Erika
I Could Have Lied,Red Hot Chili Peppers,0.0132,0.56,0.209,0.551,7.0,0.342,-13.591,1.0,0.039,140.744,4.0,0.407,Erika
The Magic Number,De La Soul,0.456,0.779,0.66,8.72e-06,0.0,0.136,-8.293,1.0,0.259,120.637,4.0,0.716,Giuliana
Lost,AKKI (DE),0.000993,0.596,0.971,0.856,2.0,0.0825,-5.061,0.0,0.0515,135.994,4.0,0.156,Andrea
"Dolly Suite, Op. 56: I. Berceuse",Gabriel Fauré,0.995,0.37,0.0076,0.91,4.0,0.0864,-33.663,1.0,0.0384,62.668,4.0,0.278,Laura
Legends,Juice WRLD,0.115,0.594,0.798,0.0,4.0,0.143,-5.244,1.0,0.0844,142.049,4.0,0.381,Giuliana
Ima Boss (feat. Rick Ross),Meek Mill,0.0415,0.37,0.87,0.0,5.0,0.604,-2.09,1.0,0.271,79.092,4.0,0.331,Giuliana
Glock In My Lap,21 Savage,0.00574,0.847,0.733,1.04e-05,10.0,0.151,-6.439,0.0,0.16,130.029,4.0,0.202,Giuliana
"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major",Franz Liszt,0.991,0.343,0.0342,0.92,8.0,0.1,-25.591,1.0,0.0406,60.228,3.0,0.0378,Laura
Mama,My Chemical Romance,0.0136,0.236,0.799,0.0,4.0,0.0948,-5.167,0.0,0.0939,208.951,4.0,0.303,Erika
Gigantic - Remastered,Pixies,0.00299,0.39,0.694,0.304,7.0,0.0757,-11.783,1.0,0.0399,115.197,4.0,0.795,Erika
Music (feat. Marvin Gaye),Erick Sermon,0.187,0.897,0.466,1.35e-06,10.0,0.0757,-9.053,0.0,0.203,100.01,4.0,0.884,Giuliana
Xerces,Deftones,0.000598,0.547,0.736,0.25,7.0,0.469,-5.267,0.0,0.0346,120.041,4.0,0.252,Erika
Nice For What,Drake,0.0891,0.585,0.909,9.7e-05,8.0,0.119,-6.474,1.0,0.0707,93.372,4.0,0.758,Giuliana
Down In It,Nine Inch Nails,0.000352,0.637,0.709,0.715,4.0,0.146,-11.837,0.0,0.117,103.993,4.0,0.442,Erika
Twist,Korn,0.395,0.558,0.989,9.81e-05,1.0,0.375,-5.041,0.0,0.158,83.071,4.0,0.635,Erika
The Thrill,Wiz Khalifa,0.277,0.817,0.775,0.0,10.0,0.108,-4.767,0.0,0.108,126.984,4.0,0.806,Giuliana
"New Person, Same Old Mistakes",Tame Impala,0.272,0.47,0.809,0.00671,8.0,0.0491,-6.74,1.0,0.0495,151.836,4.0,0.49,Erika
"GRAVITY (FEAT. TYLER, THE CREATOR)",Brent Faiyaz,0.167,0.541,0.619,0.00633,1.0,0.144,-8.746,0.0,0.254,163.908,4.0,0.491,Giuliana
Satellites,Kevin Gates,0.0453,0.711,0.887,0.0,10.0,0.164,-3.887,0.0,0.128,140.02,4.0,0.77,Giuliana
Intergalactic - Remastered 2009,Beastie Boys,0.022,0.734,0.864,9.85e-06,2.0,0.246,-6.119,1.0,0.303,105.932,4.0,0.47,Erika
Weak And Powerless,A Perfect Circle,0.000172,0.483,0.841,0.861,1.0,0.108,-7.494,0.0,0.0523,159.747,3.0,0.13,Erika
The Phoenix,Fall Out Boy,0.000539,0.562,0.964,1.57e-06,4.0,0.579,-2.991,0.0,0.072,138.063,4.0,0.41,Erika
Saranghae,Julia Thomsen,0.843,0.258,0.248,0.279,7.0,0.0917,-15.148,1.0,0.0291,81.075,4.0,0.31,Laura
Chopin Waltz B Minor. Op.69 No.2,Frédéric Chopin,0.99,0.276,0.113,0.892,11.0,0.206,-19.746,0.0,0.0375,163.547,3.0,0.13,Laura
"The Trolley Song - ""Meet Me In St. Louis"" Original Cast Recording",Judy Garland,0.766,0.576,0.436,0.0,9.0,0.359,-10.428,1.0,0.0531,143.717,4.0,0.659,Laura
"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",A$AP Rocky,0.00996,0.394,0.661,0.0,4.0,0.343,-8.684,1.0,0.192,149.818,4.0,0.335,Giuliana
Yeah 3x,Chris Brown,0.000369,0.705,0.882,1.16e-06,11.0,0.0934,-3.201,0.0,0.0445,130.0,4.0,0.7,Giuliana
